item,Open,Close,Volume
418,34.68,33.787998,60305500
419,33.953999,34.124001,57378500
420,34.02,33.986,33426500
421,33.714001,33.394001,43098500
422,32.624001,32.139999,71722500
423,32.290001,33.273998,44839000
424,33.282001,32.703999,29162500
425,32.799999,32.986,30800000
426,32.554001,33.108002,27006000
427,33.599998,33.316002,37874500
428,33.015999,33.245998,27484500
429,33.414001,33.243999,27198500
430,34.16,35.584,77973000
431,35.779999,36.678001,67008500
432,36.896,36.222,40867000
433,35.827999,36.466,31367000
434,36.712002,37.048,41263500
435,37.34,37.728001,33072000
436,37.504002,38.18,29582000
437,37.799999,38.674,44623500
438,38.792,38.599998,38779500
439,37.717999,36.189999,103877000
440,35.009998,34.661999,119082500
441,35.279999,36.195999,72070000
442,36.492001,36.613998,57428000
443,36.880001,34.945999,68786000
444,34.945999,33.756001,76582500
445,34.618,34.585999,44419500
446,34.549999,35.740002,41555500
447,35,35.944,38848000
448,37.056,36.787998,54892500
449,36.98,36.712002,41027000
450,36.708,36.560001,33525000
451,36.830002,36.68,29654000
452,36.655998,34.52,57660500
453,34.099998,34.307999,56933500
454,33.782001,32.900002,66602000
455,33,34.630001,54128500
456,34.841999,33.931999,37977500
457,34.035999,32.571999,39208500
458,32.551998,32.894001,70558500
459,32.925999,31.844,42009000
460,31.134001,31.988001,46669000
461,32.599998,32.433998,35903000
462,33,35.040001,65602000
463,36,35.362,112335500
464,30.962,30.232,155358500
465,28.837999,27.954,111423500
466,27.296,27.59,112389500
467,28.200001,28.940001,69988000
468,28.938,27.559999,74926000
469,28.167999,27.74,63291500
470,27.784,27.52,61018500
471,27.370001,27.09,49501000
472,27.054001,24.316,115691000
473,23.886,25.218,99081000
474,25.216,24.222,69248000
475,24.577999,24.42,59519000
476,24.316,24.275999,55483500
477,24.9,24.167999,51336500
478,23.875999,24.1,69427500
479,24.261999,25.388,61838000
480,25.954,25.455999,48581000
481,25.27,24.834,38756000
482,26.535999,28.940001,128412000
483,28.864,27.790001,65738500
484,28.030001,28.096001,46442000
485,28.302,27.472,39548000
486,27.4,28.32,45307500
487,28.01,28.438,53741000
488,28.375999,27.93,35689000
489,27.940001,29.493999,53839000
490,29.610001,29.530001,52959500
491,29.695999,29.587999,33376500
492,29.516001,30.492001,52475000
493,30.448,29.596001,57909500
494,29.379999,28.143999,63700000
495,28.316,28.648001,37063000
496,28.969999,28.709999,26927500
497,30,30.282,49707500
498,31.007999,31.1,35647500
499,31.059999,30.224001,27301000
500,30.224001,30.488001,22337500
501,30.464001,30.086,21312000
502,29.959999,30.02,30942000
503,30,29.912001,23475000
504,30,29.4,26805500
505,29.524,29.872,25170500
506,29.77,30.256001,30816000
507,30.5,29.506001,26910000
508,29.691999,29.143999,37230500
509,29.156,27.868,31580500
510,28.1,32.254002,138035000
511,33.689999,32.826,102328000
512,32.5,34.194,59797000
513,34.037998,34.001999,46031000
514,34.248001,35.335999,48673500
515,35.562,35.712002,35113000
516,35.445999,36.299999,39337000
517,35.57,34.919998,38321500
518,35.032001,33.924,43582000
519,34.299999,35.675999,30467000
520,35.060001,35.046001,29677500
521,35.599998,36.568001,42825000
522,35.77,36.282001,32544000
523,36.577999,35.422001,33824500
524,36.139999,35.745998,23431500
525,35.66,34.883999,36340000
526,35.259998,35.675999,29208000
527,36.202,37.306,44642500
528,37.868,39.312,64853500
529,39.793999,39.324001,53549500
530,39.155998,39.063999,25868500
531,38.667999,39.925999,40146500
532,39.619999,39.646,30790000
533,41.048,40.740002,46664000
534,40.740002,38.728001,80845000
535,43.001999,41.993999,90011500
536,42.327999,41.919998,39094000
537,41.751999,43.529999,41392000
538,46,49.599998,163408500
539,51.716,50.599998,123023000
540,52.25,50.507999,89729000
541,49.93,48.962002,72949000
542,47.452,50.112,65446500
543,51.695999,50.967999,43728000
544,51.344002,50.532001,29678500
545,50.827999,50.588001,36805500
546,50.588001,49.242001,39061500
547,48.540001,47.768002,38640500
548,47.299999,46.882,44050500
549,46.299999,48.298,48772000
